title,price,mrp,link
Apple iPhone 15 (128 GB) - Black,"61,500","₹79,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTAzNTg5MTA1ODE4NDE5OjE3NDI5ODgzMzQ6c3BfYXRmOjMwMDA1NDM0NTk0NzYzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX1W1XY%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1742988333%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","58,400","₹59,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTAzNTg5MTA1ODE4NDE5OjE3NDI5ODgzMzQ6c3BfYXRmOjMwMDQ4ODExNzY2NTUzMjo6MDo6&url=%2FiPhone-16e-128-Intelligence-Supersized%2Fdp%2FB0DXQH1DBS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs%26dib_tag%3Dse%26keywords%3Diphone%26qid%3D1742988333%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,22,900","₹1,29,900",https://www.amazon.in/iPhone-16-Pro-256-GB/dp/B0DGJC8DG8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-3
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,12,900","₹1,19,900",https://www.amazon.in/iPhone-16-Pro-128-GB/dp/B0DGJH94KM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-4
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,900","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-5
Apple iPhone 15 (128 GB) - Pink,"61,900","₹69,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-6
Apple iPhone 15 (128 GB) - Black,"61,500","₹79,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-7
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","73,400","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Ultramarine/dp/B0DGJ7TGDR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-8
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","73,900","₹79,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJ8YZDF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-9
Apple iPhone 15 (128 GB) - Blue,"61,900","₹79,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.LAi5z5vs1wlGTD04ksrOBBlSRuYWXKGlNzveIgLepPq4nrBHk0q7-6xivRGXMniwVFsdQiL-OtWDP33QRRWuNCF_Q_wdSMWcbcaXphCnKQoSDqulujBBBnQwROgKi4jT4RAqs3DB6Z5ji5HlgyQnKzmPqaT9WbL5-o78ay8d1EvdR_I7dLpgOucvR1ngQaUcqem9d0rBvpyyUgxlgorrfLMJr2KlDQ_Y6SPRZ9QOoIA.sN8HZ2Eas1IsiyRzWMBnypEw8rBd37Csxk8M3Io1Whs&dib_tag=se&keywords=iphone&qid=1742988333&sr=8-10
